"","bin","prop","lwr","upr","cases","midpoint","spl","method","mod","weights"
"211","(0.0259,0.0922]",0.2,0.0252107263268334,0.556095462307641,2,0.0590488317136451,"5","trafo","cimrsbinary","equal"
"212","(0.0922,1]",0.1,0.00252857854446179,0.445016117028195,1,0.546108825185986,"5","trafo","cimrsbinary","equal"
"213","[0,0.0363]",0,0,0.284914152918154,0,0.0181545982130566,"6","trafo","cimrsbinary","equal"
"214","(0.0363,0.0945]",0.1,0.00252857854446179,0.445016117028195,1,0.0654144218084282,"6","trafo","cimrsbinary","equal"
"215","(0.0945,0.223]",0.2,0.0252107263268334,0.556095462307641,2,0.158822578201989,"6","trafo","cimrsbinary","equal"
"216","(0.223,1]",0.3,0.0667395111777345,0.652452850059997,3,0.611562754606618,"6","trafo","cimrsbinary","equal"
"217","[0,0.0572]",0,0,0.284914152918154,0,0.0286010362598091,"1","linear","ci","equal"
"218","(0.0572,0.0977]",0,0,0.308497107818761,0,0.0774433515976674,"1","linear","ci","equal"
"219","(0.0977,0.159]",0.1,0.00252857854446179,0.445016117028195,1,0.12829549817589,"1","linear","ci","equal"
"220","(0.159,1]",0.3,0.0667395111777345,0.652452850059997,3,0.579453182838031,"1","linear","ci","equal"
"221","[0,0.0828]",0,0,0.284914152918154,0,0.0413750470811408,"2","linear","ci","equal"
"222","(0.0828,0.132]",0.2,0.0252107263268334,0.556095462307641,2,0.107192153673171,"2","linear","ci","equal"
"223","(0.132,0.208]",0.1,0.00252857854446179,0.445016117028195,1,0.169632009309223,"2","linear","ci","equal"
"224","(0.208,1]",0.2,0.0252107263268334,0.556095462307641,2,0.603814902717192,"2","linear","ci","equal"
"225","[0,0.0677]",0,0,0.284914152918154,0,0.0338530866975237,"3","linear","ci","equal"
"226","(0.0677,0.102]",0.1,0.00252857854446179,0.445016117028195,1,0.084643231285874,"3","linear","ci","equal"
"227","(0.102,0.22]",0.3,0.0667395111777345,0.652452850059997,3,0.160701861370216,"3","linear","ci","equal"
"228","(0.22,1]",0.5,0.187086028447399,0.812913971552601,5,0.609911716781865,"3","linear","ci","equal"
"229","[0,0.113]",0.181818181818182,0.0228311982999597,0.517755852360173,2,0.0565702259824972,"4","linear","ci","equal"
"230","(0.113,0.118]",0.2,0.0252107263268334,0.556095462307641,2,0.115774897772887,"4","linear","ci","equal"
"231","(0.118,0.132]",0.3,0.0667395111777345,0.652452850059997,3,0.124958202222495,"4","linear","ci","equal"
"232","(0.132,1]",0.4,0.121552258119827,0.737621923393055,4,0.565753530432105,"4","linear","ci","equal"
"233","[0,0.0449]",0,0,0.284914152918154,0,0.0224644093001193,"5","linear","ci","equal"
"234","(0.0449,0.0758]",0,0,0.308497107818761,0,0.0603468448205598,"5","linear","ci","equal"
